%time,field.x,field.y,field.theta
1757045396391345756,3.6316555219161,-1.0960368939208565,-32.762591588121246
1757045396400111081,3.632312215954745,-1.0989176196572614,-32.763913957871324
1757045396409901934,3.6329612795742334,-1.1017823491467922,-32.765133918857536
1757045396421261226,3.63360384081346,-1.1046345208242792,-32.76625295977312
1757045396430719702,3.6342363000521125,-1.107456577527272,-32.766964995964805
1757045396441191427,3.634859768099607,-1.1102478273025618,-32.76767684267983
1757045396451713164,3.635481384728529,-1.1130401296643782,-32.76838884480465
1757045396460259363,3.636087511134055,-1.1157720189358715,-32.76910089609093
1757045396471417477,3.636677752989817,-1.1184413013376655,-32.76960912709683
1757045396481534597,3.637263715609097,-1.1210976346410828,-32.77021946522177
1757045396491193939,3.637837989427215,-1.1237085538052993,-32.770321189556675
1757045396502052099,3.638408447733058,-1.1263033839582302,-32.77052456936746
1757045396511327437,3.638968509553004,-1.1288533968075052,-32.77062629357557
1757045396519994023,3.6395182427857575,-1.1313575984180204,-32.770829737234294
1757045396530119810,3.6400606504416753,-1.1338308322170294,-32.770829737234294
1757045396541338549,3.640596460562162,-1.1362739830195334,-32.770829737234294
1757045396551213544,3.641128889361326,-1.1387017159014206,-32.770728025019984
1757045396561551361,3.641651618955227,-1.1410840649471803,-32.770728025019984
1757045396570321723,3.642174330882008,-1.143466333474737,-32.77052456685019
1757045396580882617,3.6426841019556426,-1.1457873679142296,-32.7701176586817
1757045396591202629,3.6431847530973402,-1.1480624597078433,-32.769812468062106
1757045396601397907,3.6436893944866506,-1.1503523544547198,-32.769405602706016
1757045396611544417,3.644188227559812,-1.1526115191228454,-32.768998736517574
1757045396621224627,3.6446777947370474,-1.1548244426378336,-32.7686936211043
1757045396632468997,3.6451612741524166,-1.157006691263839,-32.76818509643856
1757045396641003182,3.6456389238714597,-1.1591574472665438,-32.767676744070336
1757045396651277175,3.646117850267912,-1.161308783997266,-32.766964778118755
1757045396660840842,3.6465881254407853,-1.1634141912138667,-32.7663544700297
1757045396671821934,3.6470460399488696,-1.1654583952114657,-32.765744131441274
1757045396681425022,3.6474983424338703,-1.1674717843971754,-32.764930358223516
1757045396690922733,3.647948841359643,-1.169469541802049,-32.76421831125144
1757045396700802639,3.648386976713399,-1.171406045714057,-32.76350624287658
1757045396711426602,3.6488161096963956,-1.1732965049358604,-32.76248899987193
1757045396720713544,3.6492436657168206,-1.175171181322087,-32.76157353157087
1757045396731355717,3.649662461410133,-1.1769997237334036,-32.76055635988224
1757045396740987496,3.6500796455004787,-1.1788127532592272,-32.759437379469105
1757045396750918068,3.650495327817582,-1.1806100509582167,-32.75842014280732
1757045396760949630,3.6508986798008434,-1.182345990222978,-32.757402920019565
1757045396770778315,3.65130024598069,-1.184066303921707,-32.75648741442233
1757045396780822529,3.651703402456935,-1.1857863154265653,-32.755571873607295
1757045396790825051,3.65209739019454,-1.187460310386511,-32.754554601485886
1757045396800839581,3.652485817434352,-1.1891031835968568,-32.75374092797395
1757045396811585901,3.6528647903114253,-1.190700264414068,-32.75302889642997
1757045396820735895,3.653241285238153,-1.1922818885592126,-32.75221513513846
1757045396831470099,3.653604528840207,-1.1938023516171765,-32.751604827934685
1757045396840840987,3.6539686934878874,-1.19532256416385,-32.7509945321876
1757045396850742865,3.6543301509195762,-1.1968274208762573,-32.75028248897134
1757045396860664175,3.6546780212675642,-1.1982711827843961,-32.749570468032786
1757045396868733214,3.6620292670683194,-1.2009396650469704,-32.75574230304936
1757045396870537695,3.6623728392390182,-1.2024005682423538,-32.754928539072274
1757045396881966542,3.6627139649613643,-1.2038457905314837,-32.75421658722624
1757045396890761742,3.6630417382552993,-1.2052300349479093,-32.7535045805581
1757045396900623967,3.663366868515373,-1.2065987701800147,-32.75309773938553
1757045396911427095,3.6636853150546855,-1.2079369467639842,-32.75269090212331
1757045396920636896,3.6639898194811553,-1.2092142282379756,-32.75248747475311
1757045396932010346,3.664294596463898,-1.2104915010844342,-32.752080603020296
1757045396941320425,3.664592602679929,-1.2117381517431831,-32.75187718180263
1757045396951129780,3.6648799598626134,-1.2129391737642008,-32.75177546789425
1757045396961115719,3.665160102003444,-1.214109514172663,-32.75167377549125
1757045396971313420,3.665433158641047,-1.215249741533892,-32.75177549583137
1757045396981603611,3.665702460387087,-1.2163747945281258,-32.75177549583137
1757045396991322968,3.6659644796968767,-1.2174694239293842,-32.75157205803633
1757045397001323424,3.6662230679512753,-1.218548749603552,-32.75147034365797
1757045397010942280,3.6664708248188553,-1.2195824019433397,-32.75147034365797
1757045397020865009,3.666711231351134,-1.2205853883671562,-32.75126697693503
1757045397031179456,3.6669446242187194,-1.2215582405938632,-32.75126697693503
1757045397040988101,3.6671670526195452,-1.222485389599165,-32.75116527255501
1757045397050707541,3.6673786366561716,-1.2233669407677972,-32.75096185891026
1757045397060632587,3.66758676904931,-1.2242333342737237,-32.75086014224835
1757045397070738418,3.6677876431314096,-1.2250691392549093,-32.75075844606677
1757045397080724016,3.6679849789680428,-1.2258898548144996,-32.75055502220199
1757045397092277559,3.6681751660114417,-1.2266801314039621,-32.75035159921888
1757045397100869458,3.66835818882713,-1.227439959270681,-32.75014818058701
1757045397110605956,3.6685340464840928,-1.2281693888648855,-32.74994475342174
1757045397121141055,3.668702711195922,-1.2288683591759502,-32.749537917766425
1757045397131338046,3.66886430290691,-1.2295368252112353,-32.74933451471827
1757045397141435608,3.669015014652577,-1.2301597286627466,-32.74902938796287
1757045397151541031,3.669162243557783,-1.2307674259634518,-32.748825959578156
1757045397161352754,3.6693022308594023,-1.23134471984321,-32.74841909582505
1757045397170905079,3.6694313742857507,-1.2318763500983942,-32.748113968264065
1757045397181476894,3.669556978321594,-1.2323927232082745,-32.74791056147354
1757045397191136334,3.6696678984890405,-1.2328483256410048,-32.74750374641659
1757045397200492329,3.6697753044872043,-1.2332887141147555,-32.74719862372992
1757045397210990676,3.6698791480387305,-1.233713932102322,-32.74679174852285
1757045397220668475,3.6699682898186237,-1.2340783060163723,-32.74638494298354
1757045397231160852,3.670053868194291,-1.2344274987716322,-32.74607980748568
1757045397240923819,3.6701358265139215,-1.2347614794651725,-32.74567296597167
1757045397251086603,3.670199265182647,-1.2350195388175917,-32.74536782401775
1757045397260687037,3.6702665147667313,-1.2352927407848795,-32.74516440858525
1757045397270752548,3.67033380893977,-1.235565884486853,-32.74475764410868
1757045397280854474,3.6703862458175363,-1.235778351046551,-32.74435079774115
1757045397290797037,3.670431261452911,-1.2359604293501854,-32.74394399067226
1757045397301105350,3.6704688388240223,-1.236112156572056,-32.743740572959716
1757045397311651010,3.6704951641582944,-1.2362183585406752,-32.74363886576383
1757045397321278215,3.670529026690997,-1.2363549076912366,-32.74353715320071
1757045397330830013,3.6705553778312643,-1.2364611212434422,-32.74323198293893
1757045397340483445,3.6705666852691152,-1.2365066386985277,-32.7429268072478
1757045397350840103,3.67057423237563,-1.23653697957534,-32.74272336879807
1757045397360796450,3.6705780093344447,-1.2365521505286237,-32.74262164097095
1757045397369031972,3.6755442336728628,-1.2350825630618845,-32.742618151067006
1757045397370975576,3.6755442336728628,-1.2350825630618845,-32.74241471774726
1757045397381171188,3.6755480143855976,-1.2350977291243503,-32.74231301489534
1757045397390625928,3.675555579575562,-1.235128063205372,-32.74210959091553
1757045397400666218,3.675555579575562,-1.235128063205372,-32.74190617613005
1757045397410993846,3.6755593680245457,-1.2351432274399494,-32.74160106562819
1757045397420946224,3.675555575009323,-1.2351280646032334,-32.741499363745774
1757045397431123269,3.6755479859815687,-1.2350977400484324,-32.741499363745774
1757045397441531251,3.6755403951047882,-1.2350674081052142,-32.741499363745774
1757045397450878676,3.6755403951047882,-1.2350674081052142,-32.741499363745774
1757045397461084175,3.675536599629949,-1.2350522419879608,-32.74139763727123
1757045397470833163,3.675536599629949,-1.2350522419879608,-32.74139763727123
1757045397480923489,3.675532803099346,-1.2350370782020703,-32.741295923844305
1757045397491256010,3.675529005175967,-1.2350219153995368,-32.741397633265855
1757045397500727168,3.675529005175967,-1.2350219153995368,-32.741397633265855
1757045397511447945,3.675529005175967,-1.2350219153995368,-32.741397633265855
1757045397520526125,3.6755252086184114,-1.2350067515062526,-32.74129591911847
1757045397530711003,3.6755252086184114,-1.2350067515062526,-32.74129591911847
1757045397540888765,3.6755290070279227,-1.2350219162493121,-32.7411941966801
1757045397550902304,3.675536607093694,-1.2350522456073951,-32.7411941966801
1757045397560831514,3.675536607093694,-1.2350522456073951,-32.7411941966801
1757045397570591773,3.675540406646788,-1.2350674083717461,-32.741092484922504
1757045397580846704,3.6755442075505074,-1.2350825699853307,-32.74099077829149
1757045397591026111,3.675548010279051,-1.235097732339877,-32.74088906409604
1757045397600948887,3.6755518146974295,-1.235112894895926,-32.74078734595348
1757045397610652426,3.6755556204993605,-1.2351280564325513,-32.740889059853686
1757045397621123332,3.6755594246331245,-1.2351432178539932,-32.74078734932254
1757045397630966285,3.6755594246331245,-1.2351432178539932,-32.74078734932254
1757045397640581746,3.6755594246331245,-1.2351432178539932,-32.74078734932254
1757045397650574265,3.6755594246331245,-1.2351432178539932,-32.74078734932254
1757045397660683225,3.675555618803848,-1.2351280562082125,-32.74088906395495
1757045397671023781,3.675551814591568,-1.2351128944735807,-32.740990776587026
1757045397681137601,3.675551814591568,-1.2351128944735807,-32.740990776587026
1757045397691052338,3.6755442097888835,-1.2350825723739611,-32.740990776587026
1757045397700921394,3.6755442097888835,-1.2350825723739611,-32.740990776587026
1757045397712682410,3.6755442097888835,-1.2350825723739611,-32.740990776587026
1757045397720908355,3.6755442097888835,-1.2350825723739611,-32.740990776587026
1757045397731142303,3.6755442097888835,-1.2350825723739611,-32.740990776587026
1757045397741469960,3.6755442097888835,-1.2350825723739611,-32.740990776587026
1757045397750688868,3.6755480124399376,-1.2350977344194296,-32.74088906446492
1757045397761010681,3.6755480124399376,-1.2350977344194296,-32.74088906446492
1757045397770641766,3.6755480124399376,-1.2350977344194296,-32.74088906446492
1757045397780643673,3.6755480124399376,-1.2350977344194296,-32.74088906446492
1757045397790725417,3.6755480124399376,-1.2350977344194296,-32.74088906446492
1757045397800412263,3.6755480124399376,-1.2350977344194296,-32.74088906446492
1757045397811027112,3.6755480124399376,-1.2350977344194296,-32.74088906446492
1757045397820550621,3.6755480124399376,-1.2350977344194296,-32.74088906446492
1757045397831033560,3.6755480124399376,-1.2350977344194296,-32.74088906446492
1757045397840779354,3.6755480124399376,-1.2350977344194296,-32.74088906446492
1757045397851186292,3.6755480124399376,-1.2350977344194296,-32.74088906446492
